arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a1,-10.0,50,B,3,1.4,1.3999986729739171,0.513208,64.6389102935791,56.48236274719238,11.194812693676486,0.016567595871979535,11.484253352407698,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,4,2.4,2.4000000633291583,0.879786,64.61764176686604,88.1063887278239,17.129328436137055,0.009773867578196871,17.708197706204803,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,4,2.4,2.4000000633291583,0.879786,64.61166508992513,96.33271948496501,18.5879505402766,0.06372144571934157,19.342283802272796,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,4,2.4,2.4000000633291583,0.879786,64.63395563761394,96.30791600545247,18.585746692427797,0.01884304277468729,19.355176933866492,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,4,2.4,2.4000000633291583,0.879786,64.6389102935791,96.60320949554443,18.54670725545696,0.025886391063426828,19.26912560620859,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,5,4.0,4.000000105548597,1.46631,64.61764176686604,151.2605215708415,28.666389991542207,0.3079218279797331,30.25555099796345,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,5,4.0,4.000000105548597,1.46631,64.61166508992513,165.35534540812176,31.337324075618852,0.44135930184992134,33.34392034771962,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,5,4.0,4.000000105548597,1.46631,64.63395563761394,165.3091042836507,31.28084051670385,0.10254311755216605,33.25296388869852,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,5,4.0,4.000000105548597,1.46631,64.6389102935791,165.79754066467285,31.06914576028279,0.37685592496592335,33.0356051583975,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,6,6.8,6.800000179432614,2.492727,64.61764176686604,254.82753531138104,47.67905644959791,0.004985490274215465,51.872551772157195,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,6,6.8,6.800000179432614,2.492727,64.61166508992513,278.56748644510907,52.16205013897665,0.2789801157627281,57.85806768158064,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,6,6.8,6.800000179432614,2.492727,64.63395563761394,278.4841759999593,52.336913348798596,0.006917875951032215,57.68047910847986,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,6,6.8,6.800000179432614,2.492727,64.6389102935791,279.26939964294434,51.70382273118457,0.28219381256224807,57.006272263442746,0.0,0.9131091208722306,-10.0,4,True
