gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
192,15,84.89547357559204,10.0,3.3858622113763537,3.145069316937987,0.0008103940697904245,0.01952093666117838,3.3858622113763537,3.3974845886230467,1.0034326196759107,25.07351695835313,0.0,1.9520092600411036e-137
194,15,84.52056827545167,10.0,3.3881526987174175,3.145069316937987,0.0015872466931273197,0.019241621066727888,3.3881526987174175,3.3997873336076734,1.0034339169231246,24.945914718497445,0.0,4.670951533252376e-136
196,15,84.99004077911377,10.0,3.4943019727799483,3.145069316937987,0.001503381545482785,0.018689868243501273,3.4943019727799483,3.5055103093385696,1.0032076038779512,24.32246595777141,0.0,1.8334999300684177e-129
198,15,85.74017181396485,10.0,3.5919324246690203,3.145069316937987,0.0009721650522829063,0.013499264685772339,3.5919324246690203,3.6043926864862437,1.0034689577486613,23.870207363899784,0.0,8.630585421408559e-125
200,0,9.290947055816652,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0741988774864302,1.084844282269478,1.0099100874206437,8.649187083081847,0.00017242431640625,1.3760208067525064e-16
200,5,29.234310722351072,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0755048692371827,1.0866649210453032,1.0103765702297898,27.18194176385824,0.0,1.4918366076970294e-157
200,10,49.23313512802123,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0781992076806781,1.0892139822244644,1.0102158993118537,45.662373685032634,0.0,0.0
200,15,69.26959047317504,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0768342946357072,1.0875390961766243,1.0099409924017497,64.3270657502684,0.0,0.0
200,20,89.29070396423342,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0764204842329728,1.0871340006589891,1.0099529102083658,82.95150944461957,0.0,0.0
200,25,109.23345279693604,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0774432913085805,1.087918645143509,1.009722417800946,101.3820900627349,0.0,0.0
200,30,129.2327854156494,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0762098637869093,1.0874089002609253,1.0104059968699872,120.08139840022655,0.0,0.0
200,35,149.23344497680665,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0765381118724817,1.0876973569393158,1.0103658615926046,138.62346658330262,0.0,0.0
200,40,169.29001426696777,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.076008296483906,1.0873427867889405,1.0105338317019232,157.33151391133336,0.0,0.0
200,45,189.23249664306638,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0775342273489277,1.0887241691350937,1.0103847669077732,175.61622808830649,0.0,0.0
200,50,209.28951148986818,10.0,1.0768342946357072,1.048356495175127,0.0004568204663685044,0.002706299719102745,1.0769493681761966,1.0876148134469985,1.009903385977062,194.3355162966463,0.0,0.0
202,15,69.56567773818969,10.0,1.1068636649966008,1.048356495175127,0.0005718479784517449,0.0035562583542825266,1.1068636649966008,1.1177513614296912,1.009836528903606,62.849364323837776,0.0,0.0
204,15,69.8975920677185,10.0,1.1352868210680866,1.048356495175127,0.0004390786588196558,0.005453355440715457,1.1352868210680866,1.1472682923078537,1.0105536953458993,61.56822291124485,0.0,0.0
